                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0644,                0.84412,                 1.3715,                0.84199,                0.82178,                0.82914,                0.43511,                   1.49,                0.89791,                   1.79,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0765,                0.85591,                 1.3733,                 0.8718,                0.81683,                0.86355,                0.45256,                 1.4896,                0.79899,                 1.7865,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0699,                0.85391,                 1.3794,                0.86656,                0.84653,                0.85638,                0.41344,                 1.6247,                0.85314,                 1.8982,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0588,                0.83687,                 1.3709,                0.86835,                0.81683,                0.86373,                0.44895,                 1.4747,                 0.9242,                 1.7424,               0.000812,               0.000812,               0.000812
                     62,                 1.0489,                0.82574,                 1.3624,                0.89782,                0.82649,                0.87682,                 0.4302,                 1.5393,                0.92026,                  1.829,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0708,                0.87508,                 1.3775,                0.87609,                0.83663,                0.85205,                0.44608,                 1.4805,                0.86789,                 1.7592,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0327,                0.81992,                 1.3448,                0.85703,                0.81188,                0.82804,                0.42043,                 1.5027,                0.91942,                 1.8028,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0606,                0.81261,                 1.3564,                0.85316,                0.85149,                 0.8641,                0.45347,                 1.4697,                0.84716,                 1.7452,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0356,                0.82084,                 1.3448,                 0.8811,                0.85644,                0.87077,                0.46545,                 1.4602,                0.82008,                 1.7537,               0.000713,               0.000713,               0.000713
                     67,                 1.0212,                0.80169,                 1.3228,                 0.8345,                0.85149,                0.85772,                 0.4578,                  1.434,                0.77608,                 1.7555,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0214,                0.79645,                 1.3439,                0.83803,                0.84527,                0.83967,                0.42537,                 1.4747,                0.82151,                 1.7712,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0114,                0.81108,                 1.3352,                0.86045,                0.82413,                0.83948,                0.43958,                 1.4686,                0.79375,                 1.7551,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.9967,                0.77166,                 1.3287,                0.87428,                0.82623,                0.85284,                0.43212,                 1.4751,                0.78438,                 1.7717,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.003,                0.78608,                 1.3299,                0.83474,                0.80019,                0.81441,                0.43032,                 1.4921,                0.82258,                 1.8156,               0.000614,               0.000614,               0.000614
                     72,                  1.003,                0.78418,                 1.3391,                 0.8633,                0.86634,                0.87591,                0.45346,                 1.4687,                0.76924,                 1.7797,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0131,                0.79384,                 1.3376,                0.81972,                0.85538,                0.84476,                0.43732,                 1.4383,                0.81551,                 1.7201,              0.0005744,              0.0005744,              0.0005744
                     74,                0.98436,                0.76865,                 1.3166,                0.83621,                0.87624,                0.86346,                0.45721,                 1.4301,                0.75947,                 1.7227,              0.0005546,              0.0005546,              0.0005546
                     75,                0.97723,                0.77119,                 1.3154,                0.87002,                0.82841,                0.85264,                0.44433,                 1.4919,                0.80378,                 1.7864,              0.0005348,              0.0005348,              0.0005348
                     76,                0.98713,                0.76079,                 1.3174,                0.85567,                0.85116,                0.85464,                0.47915,                 1.4298,                 0.7768,                  1.734,               0.000515,               0.000515,               0.000515
                     77,                0.97141,                0.75722,                 1.3029,                0.87693,                0.79703,                0.83808,                0.45589,                 1.4297,                0.74854,                 1.7561,              0.0004952,              0.0004952,              0.0004952
                     78,                0.97644,                 0.7603,                 1.3131,                0.82794,                0.79703,                0.80385,                0.43531,                 1.4551,                0.83435,                 1.7636,              0.0004754,              0.0004754,              0.0004754
                     79,                0.97526,                0.75445,                 1.3015,                0.82594,                0.85644,                0.83776,                0.43488,                 1.4682,                0.79163,                 1.7591,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.9821,                 0.7706,                 1.3182,                0.85429,                0.78713,                0.83661,                 0.4437,                 1.4935,                0.80807,                 1.8165,              0.0004358,              0.0004358,              0.0004358
                     81,                0.97386,                0.77012,                 1.3151,                0.85564,                0.83168,                0.84973,                0.45659,                 1.4436,                0.83195,                 1.7566,               0.000416,               0.000416,               0.000416
                     82,                0.95794,                0.75986,                 1.2886,                0.86431,                 0.8199,                0.83682,                0.44779,                 1.4603,                 0.7826,                 1.7705,              0.0003962,              0.0003962,              0.0003962
                     83,                0.95829,                0.75038,                 1.2991,                0.84533,                0.83168,                0.84952,                0.45517,                 1.4401,                0.80235,                 1.7729,              0.0003764,              0.0003764,              0.0003764
                     84,                0.92989,                0.72776,                 1.2797,                0.82632,                0.85644,                0.85844,                0.44622,                 1.4591,                0.81548,                 1.7777,              0.0003566,              0.0003566,              0.0003566
                     85,                0.95521,                0.75702,                 1.2884,                0.86112,                 0.8288,                0.85349,                0.44724,                   1.44,                 0.8002,                 1.7472,              0.0003368,              0.0003368,              0.0003368
                     86,                0.93752,                0.73378,                 1.2848,                 0.8441,                0.86139,                0.86097,                0.46118,                 1.4277,                0.79194,                  1.748,               0.000317,               0.000317,               0.000317
                     87,                 0.9307,                0.73588,                 1.2792,                 0.8646,                0.82193,                 0.8327,                0.44778,                  1.449,                0.78279,                 1.7707,              0.0002972,              0.0002972,              0.0002972
                     88,                0.93636,                0.73858,                 1.2768,                0.83112,                0.82834,                0.82837,                0.45524,                 1.4279,                0.79878,                 1.7532,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.9348,                0.74753,                 1.2724,                0.87061,                0.83663,                0.85724,                0.45861,                 1.4506,                0.78811,                 1.7566,              0.0002576,              0.0002576,              0.0002576
                     90,                0.91656,                0.73186,                 1.2676,                0.89301,                0.82642,                0.86825,                0.46131,                 1.4444,                0.76935,                 1.7608,              0.0002378,              0.0002378,              0.0002378
                     91,                0.80545,                0.53839,                 1.2304,                0.86167,                0.83259,                0.87187,                0.47401,                 1.4639,                0.73699,                 1.7965,               0.000218,               0.000218,               0.000218
                     92,                0.79523,                0.48602,                 1.2251,                0.86106,                0.86139,                0.87991,                0.46388,                 1.4868,                0.73678,                 1.8209,              0.0001982,              0.0001982,              0.0001982
                     93,                0.79621,                0.48347,                 1.2385,                0.85352,                0.84653,                 0.8696,                0.46639,                 1.4434,                0.72296,                 1.7812,              0.0001784,              0.0001784,              0.0001784
                     94,                0.76581,                0.45477,                 1.2145,                0.88487,                0.82178,                0.87938,                0.48245,                 1.4247,                0.70871,                  1.772,              0.0001586,              0.0001586,              0.0001586
                     95,                0.77741,                0.47195,                 1.2098,                0.89408,                0.79396,                0.86825,                 0.4822,                 1.4207,                0.71786,                 1.7617,              0.0001388,              0.0001388,              0.0001388
                     96,                0.75474,                0.45201,                 1.1858,                0.84213,                0.85644,                0.88767,                0.48371,                 1.4242,                0.71733,                 1.7701,               0.000119,               0.000119,               0.000119
                     97,                0.75722,                0.45067,                 1.2104,                0.86383,                0.83663,                0.86973,                0.47402,                 1.4403,                0.71998,                  1.781,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.76386,                0.45824,                 1.2043,                0.84277,                0.84915,                0.87323,                0.47698,                 1.4365,                0.71582,                 1.7808,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.73818,                0.45274,                 1.1861,                0.88542,                0.83663,                 0.8927,                0.48752,                  1.435,                0.71957,                 1.7871,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.74227,                0.45365,                 1.1909,                0.86756,                0.84317,                 0.8733,                0.48086,                 1.4353,                0.71363,                 1.7912,               3.98e-05,               3.98e-05,               3.98e-05
